Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,?3,?10,Oct,Nov,Dec,Jan,Feb,Mar,Jul,Aug
1,Milwaukee Bucks,56-17,30-May,26-Dec,37-7,19-Oct,10-Apr,13-Jan,14-Feb,07-Mar,07-Feb,05-May,46-8,10-Sep,03-Feb,38-8,02-Feb,15-Jan,13-Feb,11-Feb,10-Jan,02-Apr,1-0,02-May
2,Toronto Raptors,53-19,26-Oct,27-Sep,34-11,19-Aug,09-May,13-Mar,12-Mar,07-Mar,07-Feb,05-Mar,40-15,13-Apr,06-Apr,23-Oct,04-Jan,10-Mar,09-Jul,12-Mar,07-Mar,04-Jan,,07-Jan
3,Los Angeles Lakers,52-19,25-Oct,27-Sep,16-Sep,36-10,05-May,04-Mar,07-Jan,12-Mar,10-Mar,14-Apr,41-12,11-Jul,07-Mar,25-Nov,03-Jan,14-Jan,09-May,10-Apr,09-Feb,04-Jan,1-0,02-May
4,Los Angeles Clippers,49-23,27-Sep,22-14,17-Jul,32-16,05-Mar,04-Mar,08-Jan,11-May,08-Jun,13-May,37-18,12-May,08-Mar,32-8,04-Feb,10-Apr,10-May,09-Apr,07-Apr,04-Jan,0-1,05-Feb
5,Boston Celtics,48-24,26-Oct,22-14,30-13,18-Nov,09-Jun,09-Apr,12-Mar,06-Mar,06-Apr,06-Apr,38-16,10-Aug,06-May,29-Jul,03-Jan,10-Apr,10-Mar,09-Jul,09-Mar,02-Mar,0-1,05-Feb
6,Denver Nuggets,46-27,26-Nov,20-16,17-Nov,29-16,06-Apr,04-Apr,07-Mar,12-Feb,09-Jul,08-Jul,38-17,08-Oct,09-May,16-13,03-Feb,10-Feb,10-Jun,11-May,06-Apr,03-Mar,,03-May
7,Indiana Pacers,45-28,25-Nov,20-17,28-19,17-Sep,09-Jul,08-Jul,11-May,07-Mar,05-Feb,05-Apr,32-23,13-May,05-Jul,20-Dec,01-Mar,11-Apr,10-May,09-May,05-Jul,03-Feb,,06-Feb
8,Houston Rockets,44-28,24-Dec,20-16,16-Sep,28-19,06-Mar,04-Mar,06-Mar,10-Aug,10-Jun,08-May,34-20,10-Aug,04-May,22-14,03-Jan,10-May,10-May,07-Jul,09-Feb,01-Apr,1-0,03-Apr
9,Miami Heat,44-29,29-Jul,15-22,30-13,14-16,09-Jun,11-Mar,10-Apr,04-Jun,04-Jun,06-Apr,35-19,09-Oct,06-Apr,23-Nov,04-Jan,09-Apr,11-Apr,08-Jun,06-Jul,03-Feb,,03-May
10,Oklahoma City Thunder,44-28,23-14,21-14,17-Sep,27-19,05-Mar,06-Apr,06-Feb,08-May,09-Aug,10-Jun,33-22,11-Jun,08-Jun,18-Oct,01-Apr,06-Jul,11-Apr,12-May,07-Mar,03-Jan,,04-Apr
11,Utah Jazz,44-28,23-Dec,21-16,20-Jul,24-21,06-Apr,06-Feb,08-Jan,05-Jul,09-Jun,10-Aug,36-18,08-Oct,07-May,18-Nov,04-Jan,08-Jun,09-May,11-Apr,05-Jun,04-Jan,1-0,02-May
12,Dallas Mavericks,43-32,20-18,23-14,16-Dec,27-20,04-May,07-Feb,05-May,09-Jun,08-Oct,10-Apr,33-22,10-Oct,02-Nov,23-Sep,03-Jan,09-May,09-Jun,08-Jul,07-May,04-Mar,0-1,03-Apr
13,Philadelphia 76ers,43-30,31-4,Dec-26,28-18,15-Dec,11-May,10-Jun,07-Jul,05-Apr,05-May,05-Mar,34-21,09-Sep,06-May,19-15,4-0,10-Jun,09-Jul,08-May,06-May,02-Mar,,04-Apr
14,Brooklyn Nets,35-37,20-16,15-21,23-23,01-Dec,06-Oct,08-Apr,09-Sep,02-Jul,06-Feb,04-May,25-28,10-Sep,07-Jul,17-19,01-Mar,09-Jun,06-Jul,05-Oct,05-Jul,04-Jan,0-1,05-Feb
15,Portland Trail Blazers,35-39,21-15,14-24,15-Dec,20-27,04-Jun,04-Apr,07-Feb,05-Aug,07-Oct,08-Sep,25-31,10-Aug,09-Mar,17-18,03-Feb,05-Oct,06-Aug,08-Jul,04-Aug,03-Feb,1-0,05-Feb
16,Memphis Grizzlies,34-39,20-17,14-22,14-13,20-26,03-Apr,04-Jun,07-Mar,08-Jul,08-Oct,04-Sep,28-26,01-Jun,03-Apr,18-21,01-Mar,04-Oct,08-Aug,11-Apr,05-Jun,03-Feb,0-1,02-May
17,Phoenix Suns,34-39,17-22,17-17,15-Dec,19-27,06-Apr,03-Apr,06-Apr,06-Sep,06-Sep,07-Sep,22-33,12-Jun,04-Aug,15-18,03-Feb,05-Aug,05-Oct,07-Aug,04-Sep,02-Feb,1-0,7-0
18,Orlando Magic,33-40,18-17,15-23,20-23,13-17,06-Oct,05-Aug,09-May,02-Aug,05-May,06-Apr,24-31,09-Sep,05-May,18-20,02-Feb,05-Sep,07-Aug,07-Aug,06-Jun,03-Feb,1-0,02-May
19,San Antonio Spurs,32-39,19-15,13-24,Dec-16,20-23,05-May,02-Jun,05-May,06-Sep,07-Aug,07-Jun,23-31,09-Aug,10-Jul,10-Dec,03-Jan,04-Dec,07-May,07-Aug,04-Jul,02-Mar,1-0,04-Mar
20,Sacramento Kings,31-41,16-19,15-22,Aug-18,23-23,02-Aug,02-May,04-May,07-Sep,08-May,08-Sep,21-33,Aug-22,06-Aug,Dec-18,0-5,08-May,04-Dec,06-Aug,07-Apr,03-Feb,0-1,03-Apr
21,New Orleans Pelicans,30-42,15-21,15-21,12-Dec,18-30,02-Jun,07-Mar,03-Mar,09-Sep,05-Dec,04-Sep,23-32,Oct-22,02-Jun,18-15,01-Apr,05-Sep,05-Oct,09-Jun,06-Apr,02-Mar,0-1,02-May
22,Washington Wizards,25-47,16-20,Sep-27,18-27,Jul-20,08-Jul,05-Nov,05-Sep,03-Jul,Jul-22,02-Jun,20-33,May-14,01-Apr,Dec-25,01-Mar,05-Aug,04-Nov,06-Sep,05-Jun,03-Mar,0-1,01-Jun
23,Charlotte Hornets,23-42,Oct-21,13-21,16-24,Jul-18,05-Sep,09-Aug,02-Jul,Jul-22,04-Apr,Jul-22,18-36,Jun-22,09-Aug,May-25,02-Mar,06-Oct,05-Oct,03-Sep,05-Jun,02-Apr,,
24,Chicago Bulls,22-43,14-20,Aug-23,15-28,Jul-15,01-Dec,07-Sep,07-Jul,01-Jun,02-May,04-Apr,19-36,Jul-22,06-Jun,Jul-19,01-Apr,05-Oct,07-Jul,Nov-22,01-Aug,02-Mar,,
25,New York Knicks,21-45,Nov-22,Oct-23,15-28,Jun-17,02-Nov,08-Aug,05-Sep,01-Jun,02-Jun,May-22,17-38,Jul-22,07-Jun,Aug-21,01-Apr,Nov-22,05-Sep,04-Dec,05-Jun,Mar-22,,
26,Atlanta Hawks,20-47,14-20,Jun-27,Nov-32,Sep-15,01-Mar,02-Dec,06-Jul,03-May,03-May,03-May,15-41,Jun-22,01-May,Aug-29,02-Mar,01-Feb,03-Nov,Sep-22,06-Jul,01-Apr,,
27,Detroit Pistons,20-46,Nov-22,Sep-24,Dec-31,Aug-15,03-Nov,Oct-22,Oct-22,01-Jul,04-Mar,03-May,19-38,Aug-22,04-Jun,Sep-26,02-Mar,04-Oct,06-Sep,05-Nov,03-Aug,0-5,,
28,Cleveland Cavaliers,19-46,Nov-25,Aug-21,Dec-32,Jul-14,Feb-14,04-Oct,Aug-22,04-Apr,0-4,03-Jun,14-40,Jun-22,05-May,Jun-28,02-Feb,03-Dec,05-Sep,Mar-13,04-Jul,Mar-22,,
29,Minnesota Timberwolves,19-45,Aug-24,Nov-21,Oct-15,Sep-30,02-Apr,03-Jun,05-May,02-Oct,04-Aug,03-Dec,16-37,03-Aug,03-Apr,Oct-21,03-Jan,07-Jul,02-Dec,03-Dec,02-Sep,02-Apr,,
30,Golden State Warriors,15-50,Aug-26,Jul-24,Jun-16,Sep-34,01-Jun,03-Mar,02-Jul,03-Dec,02-Nov,04-Nov,Dec-43,03-Jul,01-Mar,Aug-30,01-Mar,Mar-13,05-Oct,Jan-13,03-Aug,02-Mar,,
